key,section,cs,en,uk,cs_web_suggested,en_web_suggested,notes_for_translator
settingsCurrencyDesc,Settings,USD - Americký dolar,USD - United states dollar,USD — долар США,,,
settingsDeleteAccount,Settings,Smazat účet,Delete account,Видалити акаунт,,,
settingsDeleteAccountCancel,Settings,Ponechat účet,Keep account,Залишити акаунт,,,
settingsDeleteAccountConfirm,Settings,Smazat natrvalo,Delete permanently,Видалити назавжди,,,
settingsDeleteAccountConfirmTitle,Settings,Smazat účet,Delete account,Видалити акаунт,,,
settingsDeleteAccountDeleting,Settings,Mazání účtu…,Deleting account…,Видалення акаунта…,,,
settingsDeleteAccountDetailsAccessTitle,Settings,Okamžité zneplatnění přístupu,Immediate loss of access,Миттєве анулювання доступу,,,
settingsDeleteAccountDetailsAnonymizationTitle,Settings,Anonymizace osobních údajů,Anonymization of personal data,Анонімізація особистих даних,,,
settingsDeleteAccountDetailsAuditTitle,Settings,Auditní stopa,Audit record,Аудитний слід,,,
settingsDeleteAccountDetailsButton,Settings,Detailní vysvětlení smazání účtu,Detailed account deletion explanation,Детальне пояснення видалення акаунта,,,
settingsDeleteAccountDetailsKeepTitle,Settings,Co se nemaže,What is not deleted,Що не видаляється,,,
settingsDeleteAccountDetailsSubtitle,Settings,Co přesně se po potvrzení stane,What exactly happens after confirmation,Що саме станеться після підтвердження,,,
settingsDeleteAccountDetailsTitle,Settings,Detailní vysvětlení smazání účtu,Detailed account deletion explanation,Детальне пояснення видалення акаунта,,,
settingsDeleteAccountError,Settings,Smazání účtu se nezdařilo. Zkuste to znovu.,Account deletion failed. Please try again.,Не вдалося видалити акаунт. Спробуйте ще раз.,,,
settingsDeleteAccountNeedLogin,Settings,Pro smazání účtu musíte být přihlášen/a.,You need to be signed in to delete your account.,"Щоб видалити акаунт, потрібно увійти.",,,
settingsDeleteAccountReasonBranchService,Settings,,I am not satisfied with services at your branches.,Я незадоволений/а послугами у ваших філіях.,,,
settingsDeleteAccountReasonNoNeed,Settings,Aplikaci už nepotřebuji,I no longer need the app,Додаток більше не потрібен,,,
settingsDeleteAccountReasonOther,Settings,Jiný důvod,Other reason,Інша причина,,,
settingsDeleteAccountReasonPlaceholder,Settings,Volitelný důvod (pomůže nám se zlepšit),Optional reason (helps us improve),Необов’язкова причина (допоможе нам стати кращими),,,
settingsDeleteAccountReasonPrivacy,Settings,Obavy o soukromí,Privacy concerns,Занепокоєння щодо приватності,,,
settingsDeleteAccountSectionDesc,Settings,Nevratné smazání a anonymizace klientského účtu,Permanent deletion and anonymization of your client account,Незворотне видалення та анонімізація клієнтського акаунта,,,
settingsHelp,Settings,Nápověda,Help,Допомога,,,
settingsHelpDesc,Settings,Kontaktovat podporu,Contact support,Зв’язатися з підтримкою,,,
settingsNotifications,Settings,Oznámení,Notifications,Сповіщення,,,
settingsNotificationsDesc,Settings,"""Push notifikace, e-mailová oznámení""","""Push notifications, email notifications""","""Push-сповіщення, сповіщення електронною поштою""",,,
settingsPayments,Settings,Platby,Payments,Платежі,,,
settingsPaymentsDesc,Settings,Správa platebních metod,Manage payment methods,Керування способами оплати,,,
settingsSubtitle,Settings,Správa nastavení účtu,Manage your account settings,Керування налаштуваннями акаунта,,,
settingsSwitchToCzech,Settings,Přepnout do češtiny,Switch to Czech,Přepnout do češtiny,,,
settingsSwitchToEnglish,Settings,Přepnout do angličtiny,Switch to English,Switch to English,,,
settingsTitle,Settings,Nastavení,Settings,Налаштування,,,
sheetBranchFallback,Reservation create flow,Pobočka,Branch,Філія,,,
sheetBranchInterior,Reservation create flow,Interiér pobočky,Branch interior,Інтер’єр філії,,,
sheetBranchNoIntro,Reservation create flow,Tato pobočka zatím nemá krátké představení.,This branch has no short description yet.,У цієї філії поки немає короткого опису.,,,
sheetClose,Reservation create flow,Zavřít,Close,Закрити,,,
sheetHideDescription,Reservation create flow,Skrýt popis,Hide description,Сховати опис,,,
sheetHowToBranch,Reservation create flow,Kudy na pobočku?,How to get to the branch?,Як дістатися до філії?,,,
sheetNoBio,Reservation create flow,Bez popisu.,No description.,Без опису.,,,
sheetPortfolio,Reservation create flow,Ukázka práce,Portfolio,Приклади робіт,,,
sheetShowFullDescription,Reservation create flow,Zobrazit celý popis,Show full description,Показати повний опис,,,
sheetSpecialistFallback,Reservation create flow,Specialista,Barber,Барбер,,,
sheetVideoLabel,Reservation create flow,Video,Video,Відео,,,
signupAlreadyHave,Auth,Už máte účet? ,Already have an account? ,Уже маєте акаунт?,,,
signupAvatarAddHint,Auth,Klepněte na + a vyberte fotku z galerie.,Tap + to add a photo from your gallery.,Натисніть + і оберіть фото з галереї.,,,
signupAvatarCarouselHint,Auth,"""Vyberte avatar posunem, nebo přidejte vlastní fotku.""","""Swipe to pick an avatar, or add your own photo.""","""Оберіть аватар жестом або додайте власне фото.""",,,
signupAvatarLoadError,Auth,Avatary se nepodařilo načíst.,Could not load avatars.,Не вдалося завантажити аватари.,,,
signupAvatarLoading,Auth,Načítám avatary…,Loading avatars…,Завантажуємо аватари…,,,
signupAvatarRetry,Auth,Zkusit znovu,Try again,Спробувати знову,,,
signupAvatarUrlInvalid,Auth,Zadejte platné http(s) URL nebo pole nechte prázdné.,Enter a valid http(s) URL or leave the field empty.,Введіть коректний http(s) URL або залиште поле порожнім.,,,
signupAvatarUrlLabel,Auth,URL obrázku (volitelně),Image URL (optional),URL зображення (необов’язково),,,
signupConfirmPassword,Auth,Potvrdit heslo,Confirm password,Підтвердити пароль,,,
signupConfirmRequired,Auth,Potvrďte heslo,Confirm your password,Підтвердіть пароль,,,
signupCreateAccount,Auth,Vyplňte své jméno a příjmení,Enter your first and last name,Вкажіть ім’я та прізвище,,,
signupCreateAccountDesc,Auth,Ať vás v aplikaci můžeme správně oslovovat a připravit vše na míru.,So we can address you properly and personalize your experience.,Щоб ми могли правильно до вас звертатися й усе налаштувати під вас.,,,
signupCreateAccountOtpHint,Auth,Pro ověření jsme vám poslali SMS kód na zadané číslo.,"""To verify it's really you, we sent an SMS code to your number.""",Для підтвердження ми надіслали SMS-код на вказаний номер.,,,
signupEmail,Auth,E-mail,Email,E-mail,,,
signupEmailDomainHint,Auth,Klepnutím doplníte doménu,Tap to complete domain,"Натисніть, щоб доповнити домен",,,
signupEmailInvalid,Auth,Zadejte platný e-mail,Enter a valid email address,Вкажіть коректний e-mail,,,
signupEmailOptional,Auth,E-mail (volitelně),Email (optional),E-mail (необов’язково),,,
signupEmailRequired,Auth,E-mail je povinný,Email is required,E-mail обов’язковий,,,
signupLogIn,Auth,Přihlásit se,Log in,Увійти,,,
signupPassword,Auth,Heslo,Password,Пароль,,,
signupPasswordMeterShort,Auth,Zadejte alespoň 4 znaky.,Enter at least 4 characters.,Введіть щонайменше 4 символи.,,,
signupPasswordMinLength,Auth,Heslo musí mít alespoň 4 znaky,Password must be at least 4 characters,Пароль має містити щонайменше 4 символи,,,
signupPasswordMismatch,Auth,Hesla se neshodují,Passwords do not match,Паролі не збігаються,,,
signupPasswordRequired,Auth,Heslo je povinné,Password is required,Пароль обов’язковий,,,
signupPhoneInvalid,Auth,Zadejte platné telefonní číslo,Enter a valid phone number,Введіть коректний номер телефону,,,
signupPhoneLabel,Auth,Telefonní číslo,Phone number,Номер телефону,,,
signupPhoneRequired,Auth,Telefonní číslo je povinné,Phone number is required,Номер телефону обов’язковий,,,
signupRegisterFailed,Auth,Registrace se nezdařila. Zkuste to znovu.,Registration failed. Please try again.,Реєстрація не вдалася. Спробуйте ще раз.,,,
signupStepAvatarSubtitle,Auth,Volitelně — můžete doplnit i později v profilu.,Optional — you can change it later in your profile.,Необов’язково — можна доповнити пізніше в профілі.,,,
signupStepAvatarTitle,Auth,Profilová fotka,Profile photo,Фото з профілю,,,
signupStepBirthdaySubtitle,Auth,Tento údaj je nepovinný.,This field is optional.,Це поле необов’язкове.,,,
signupStepBirthdayTitle,Auth,Datum narození,Date of birth,Дата народження,,,
signupStepEmailSubtitle,Auth,Použijeme ho pro potvrzení a důležité zprávy.,We use it for confirmations and updates.,Використаємо для підтверджень і важливих повідомлень.,,,
signupStepEmailTitle,Auth,E-mail,Email,E-mail,,,
signupStepNameSubtitle,Auth,Jak vás máme oslovovat?,How should we address you?,Як до вас звертатися?,,,
signupStepNameTitle,Auth,Jméno,Your name,Ім'я,,,
signupStepPasswordSubtitle,Auth,Zvolte bezpečné heslo.,Choose a secure password.,Оберіть надійний пароль.,,,
signupStepPasswordTitle,Auth,Heslo,Password,Пароль,,,
signupStepPhoneSubtitle,Auth,Použijeme ho k přihlášení.,We use it to sign you in.,Використаємо для входу.,,,
signupStepPhoneTitle,Auth,Telefonní číslo,Phone number,Номер телефону,,,
signupTitle,Auth,Registrace,Sign up,Записатися,,,
signupWelcomeJoinTeam,Auth,Vstoupit do Týmu Real Barber,Join the Real Barber Team,Станьте частиною команди Real Barber,,,
tabBarbers,Home tabs (horizontal scroll under home),Tým,Team,Команда,,,
tabBranches,Home tabs (horizontal scroll under home),Pobočky,Branches,Філії,,,
tabGuides,Home tabs (horizontal scroll under home),Návody,Guides,Гайди,,,
tabInspirace,Home tabs (horizontal scroll under home),Účesy,Inspiration,Зачіски,,Hairstyles,Na webu je sekce Účesy / Hairstyles (app EN má Inspiration).
tabMyHaircuts,Home tabs (horizontal scroll under home),Můj styl,My style,Мій стиль,,,
tabRealBarber,Home tabs (horizontal scroll under home),Real Barber,Real Barber,Real Barber,,,
tabServices,Home tabs (horizontal scroll under home),Služby,Services,Послуги,,,
tabWallet,Home tabs (horizontal scroll under home),Peněženka,Wallet,Гаманець,,,
teamMemberCardNoShiftHint,Real Barber home screen,Aktuálně žádné volné termíny,No free slots at the moment,Наразі немає вільних термінів,,,
teamMemberCardViewProfile,Real Barber home screen,Zobrazit profil,View profile,Показати профіль,,,
teamPageEmpty,Real Barber home screen,Zatím nemáme žádné holiče.,No barbers yet.,Поки немає барберів.,,,
teamPageLoadError,Real Barber home screen,Nepodařilo se načíst tým.,Could not load team.,Не вдалося завантажити команду.,,,
teamPageLoading,Real Barber home screen,Načítám…,Loading…,Завантажую…,,,
teamPageTitle,Real Barber home screen,Tým,Team,Команда,,,
topPicks,Common,Top výběr,Top picks,Топ вибір,,,
transferAvailable,Transfer,K dispozici,Available,Доступно,,,
transferChatAmountPlaceholder,Transfer,Částka (RBC),Amount (RBC),Сума (RBC),,,
transferChatBalance,Transfer,Zůstatek,Balance,Баланс,,,
transferChatEnterValidAmount,Transfer,Zadejte platnou částku.,Enter a valid amount.,Введіть коректну суму.,,,
transferChatFailed,Transfer,Převod se nezdařil.,Transfer failed.,Переказ не вдався.,,,
transferChatMenuBlockUser,Transfer,Blokovat uživatele,Block user,Заблокувати користувача,,,
transferChatMenuReportUser,Transfer,Nahlásit uživatele,Report user,Поскаржитися на користувача,,,
transferChatMenuViewProfile,Transfer,Zobrazit profil,View profile,Показати профіль,,,
transferChatNoTransactions,Transfer,S tímto příjemcem zatím nemáte žádné transakce,You have no transactions with this recipient yet,З цим отримувачем поки немає транзакцій,,,
transferChatNotEnoughRbc,Transfer,Nemáte dostatek RBC.,You don't have enough RBC.,Недостатньо RBC.,,,
transferChatNoteOptional,Transfer,Poznámka (nepovinná),Note (optional),Примітка (необов’язково),,,
transferChatRemaining,Transfer,Zbývá,Remaining,Залишилось,,,
transferChatSend,Transfer,Odeslat,Send,Надіслати,,,
transferChatSending,Transfer,Odesílám…,Sending…,Надсилаємо…,,,
transferChatYesterday,Transfer,Včera,Yesterday,Вчора,,,
transferHelpClose,Transfer,Rozumím,Got it,Зрозуміло,,,
transferHelpCta,Transfer,Nápověda,Help,Допомога,,,
transferHelpTitle,Transfer,Jak vyhledávání funguje,How search works,Як працює пошук,,,
transferNewPayment,Transfer,Nová platba,New payment,Новий платіж,,,
transferRecipient,Transfer,Příjemce,Recipient,Отримувач,,,
transferSearchPlaceholder,Transfer,Jméno kolegy nebo celé telefonní číslo příjemce,Colleague name or recipient’s full phone number,Ім’я колеги або повний номер телефону отримувача,,,
transferSearching,Transfer,Vyhledávám…,Searching…,Шукаю…,,,
transferTheySentYouRbc,Transfer,Odeslali vám,They sent you,Вам надіслали,,,
transferYouSentRbc,Transfer,Odeslali jste,You sent,Ви надіслали,,,
tripsAddReview,Trips card,Napsat recenzi,Add review,Написати відгук,,,
tripsDays,Trips / Bookings,dní,days,днів,,,
tripsFilterAll,Trips / Bookings,Vše,All,Усе,,,
tripsFilterCancelled,Trips / Bookings,Zrušené,Cancelled,Скасовано,,,
tripsFilterCurrent,Trips / Bookings,Aktuální,Current,Поточні,,,
tripsFilterPast,Trips / Bookings,Minulé,Past,Минулі,,,
tripsFilterPendingReview,Trips / Bookings,Čeká na recenzi,Pending review,Очікує відгук,,,
tripsFilterRated,Trips / Bookings,Ohodnocené,Rated,Оцінені,,,
tripsFilterUpcoming,Trips / Bookings,Nadcházející,Upcoming,Найближча,,,
tripsFilterWithoutCancelled,Trips / Bookings,Bez zrušených,Without cancelled,Без скасованих,,,
tripsHours,Trips / Bookings,h,h,год,,,
tripsIn,Trips / Bookings,Za,In,Через,,,
tripsLoading,Trips / Bookings,Načítání…,Loading…,Завантаження…,,,
tripsMessage,Trips card,Zpráva,Message,Повідомлення,,,
tripsMinutes,Trips / Bookings,min,min,хв,,,
tripsNoBookings,Trips / Bookings,Zatím žádné rezervace.,No bookings yet.,Поки немає бронювань.,,,
tripsSeconds,Trips / Bookings,s,s,с,,,
tripsTitle,Trips / Bookings,Vaše rezervace,Your Bookings,Ваші бронювання,,,
tripsViewBooking,Trips card,Zobrazit rezervaci,View booking,Переглянути бронювання,,,
walletAddMoney,Wallet,Přidat peníze,Add money,Додати гроші,,,
walletDetailCashback,Wallet,Cashback,Cashback,Кешбек,,,
walletDetailDateAndTime,Wallet,Datum a čas,Date and time,Дата і час,,,
walletDetailLoyaltyReward,Wallet,Věrnostní odměna,Loyalty reward,Бонус лояльності,,,
walletDetailPayment,Wallet,Platba,Payment,Оплата,,,
walletDetailPaymentNote,Wallet,Poznámka k platbě,Payment note,Примітка до платежу,,,
walletDetailPerformedBy,Wallet,Provedl,Performed by,Виконав,,,
walletDetailReceived,Wallet,Přijato,Received,Отримано,,,
walletDetailRecipient,Wallet,Příjemce,Recipient,Отримувач,,,
walletDetailSend,Wallet,Odeslat,Send,Надіслати,,,
walletDetailSender,Wallet,Odesílatel,Sender,Відправник,,,
walletDetailSent,Wallet,Odesláno,Sent,Надіслано,,,
walletDetailTransaction,Wallet,Transakce,Transaction,Транзакції,,,
walletDetailTransactionId,Wallet,ID transakce,Transaction ID,ID транзакції,,,
walletDetailTransfer,Wallet,Převod,Transfer,Переказ,,,
walletDetailUpdated,Wallet,Aktualizováno,Updated,Оновлено,,,
walletDetails,Wallet,Detail,Details,Деталі,,,
walletFlexiFondy,Wallet,FlexiFondy,FlexiFondy,FlexiFondy,,,
walletFlexiFondySubtitle,Wallet,"""S variabilním úrokem v EUR, GBP nebo USD. Investiční riziko.""","""Variable interest in EUR, GBP or USD. Investment risk.""","""Зі змінною ставкою в EUR, GBP або USD. Інвестиційний ризик.""",,,
walletHistoryCashback,Wallet,Cashback,Cashback,Кешбек,,,
walletHistoryDayBefore,Wallet,Předevčírem,Day before yesterday,Позавчора,,,
walletHistoryGiftCardCreated,Wallet,Dárková karta vytvořena,Gift card created,Подарункову картку створено,,,
walletHistoryLoading,Wallet,Načítání…,Loading…,Завантаження…,,,
walletHistoryTitle,Wallet,Historie,History,Історія,,,
walletHistoryToday,Wallet,Dnes,Today,сьогодні,,,
walletHistoryYesterday,Wallet,Včera,Yesterday,Вчора,,,
walletMore,Wallet,Více,More,Більше,,,
walletMoreButton,Wallet,Více,More,Більше,,,
walletNoTransactions,Products (home),Žádné transakce,No transactions,Немає транзакцій,,,
walletPersonalRbcCaption,Wallet,Osobní · RBC,Personal · RBC,Особистий · RBC,,,
walletPromoSubtitle2,Wallet,Získejte cashback z každého nákupu v partnerských salonech.,Earn cashback on every purchase at partner salons.,Отримуйте кешбек з кожної покупки в партнерських салонах.,,,
walletPromoSubtitle3,Wallet,Darujte RBC kredity jako dárkovou kartu.,Give RBC credits as a gift card.,Даруйте кредити RBC як подарункову картку.,,,
walletPromoTitle2,Wallet,RBC Cashback,RBC Cashback,RBC Cashback,,,
walletPromoTitle3,Wallet,Dárkové karty RBC,RBC Gift Cards,Подарункові картки RBC,,,
walletShowAll,Wallet,Zobrazit vše,Show all,Переглянути все,,,
walletStats,Wallet,Statistika,Statistics,Статистика,,,
walletStatsEmpty,Wallet,Zatím nemáte žádné transakce.,No transactions yet.,Поки немає транзакцій.,,,
walletStatsEmptyMonth,Wallet,V tomto měsíci žádné pohyby.,No activity this month.,Цього місяця немає рухів.,,,
walletStatsInMonth,Wallet,v {month},in {month},у {month},,,
walletStatsLoading,Wallet,Načítání…,Loading…,Завантаження…,,,
walletStatsLoginRequired,Wallet,Přihlaste se pro zobrazení statistik.,Sign in to view statistics.,"Увійдіть, щоб переглянути статистику.",,,
walletStatsMovesInMonth,Wallet,Pohyby {month},Activity {month},Рухи {month},,,
walletStatsReceived,Wallet,Přijato,Received,Отримано,,,
walletStatsRecentMoves,Wallet,Poslední pohyby,Recent activity,Останні рухи,,,
walletStatsSpentInMonth,Wallet,Utraceno v {month},Spent in {month},Витрачено в {month},,,
walletStatsSpentThisMonth,Wallet,Utraceno tento měsíc,Spent this month,Витрачено цього місяця,,,
walletStatsThisMonth,Wallet,tento měsíc,this month,цього місяця,,,
walletTransactionVisitReservationBonus,Wallet,10% cashback z návštěvy,10% visit cashback,10% кешбек з візиту,,,
walletTransactions,Products (home),Transakce,Transactions,Транзакції,,,
walletTransfer,Wallet,Převod,Transfer,Переказ,,,
warehouseDisplayCentral,Product detail,Centrální sklad,Central warehouse,Центральний склад,,,
welcomeContinueApple,Auth,Pokračovat přes Apple,Continue with Apple,Продовжити через Apple,,,
welcomeContinueGoogle,Auth,Pokračovat přes Google,Continue with Google,Продовжити через Google,,,
welcomePasswordLoginBadge,Auth,Místo toho heslo,Use password instead,Замість цього пароль,,,
welcomeStart,Auth,Začít,Start,Почати,,,
welcomeSubtitle,Auth,Jste připraveni?,Ready to get started?,Готові?,,,
